ID,RFID,SEX,Pair,Site,Category
J2403,01101722BC,F,7,STITHIANS,1
J2965,01101711A6,M,7,STITHIANS,1
J250,0110174A5C,F,9,STITHIANS,1
J290,0110171677,M,9,STITHIANS,1
J1319,011016DC9B,F,14,STITHIANS,1
J416,0110173108,M,14,STITHIANS,1
J1323,010C111B7A,F,18,STITHIANS,1
J1340,011016FAF6,M,18,STITHIANS,1
J505,011016DF64,F,21,STITHIANS,1
J1480,011016B47D,M,21,STITHIANS,1
J1046,01101705AC,F,30,STITHIANS,1
J1529,0700ED9918,M,30,STITHIANS,1
J2409,0110173D73,F,19,STITHIANS,1
J2402,011016E014,M,19,STITHIANS,1
J2375,010C118978,F,42,PENCOOSE,1
J837,0110174DC2,M,42,PENCOOSE,1
J692,0700EDA828,F,56,PENCOOSE,1
J899,0110174FBB,M,56,PENCOOSE,1
J995,0700EE1AAE,F,65,PENCOOSE,1
J1376,0110171952,M,65,PENCOOSE,1
J1001,0110172CE1,F,68,PENCOOSE,1
J1394,0110173549,M,68,PENCOOSE,1
J2400,0110173809,F,71,PENCOOSE,1
J2359,011016FC0F,M,71,PENCOOSE,1
J1328,010C10FB80,F,1,STITHIANS,2
J1334,010C112D8C,M,1,STITHIANS,2
J1366,010C115B1A,F,2,STITHIANS,2
J1890,011016C36B,M,2,STITHIANS,2
J896,0110172A91,F,3,STITHIANS,2
J2391,0110171900,M,3,STITHIANS,2
J892,011017423A,F,4,STITHIANS,2
UNMK,,M,4,STITHIANS,2
J1315,01101724DB,F,5,STITHIANS,2
J515,01103F8D65,M,5,STITHIANS,2
UNMK,,F,6,STITHIANS,2
J1492,011016B471,M,6,STITHIANS,2
J1349,011016FDFB,F,8,STITHIANS,2
J1896,011017400D,M,8,STITHIANS,2
J407,010C11552B,F,10,STITHIANS,2
J1359,010C11A87D,M,10,STITHIANS,2
J510,0110173D72,F,11,STITHIANS,2
J516,01101728E4,M,11,STITHIANS,2
J2980,011016CF45,F,12,STITHIANS,2
J2943,01101704F8,M,12,STITHIANS,2
J1891,0110170C9F,F,13,STITHIANS,2
J1365,0110172F8B,M,13,STITHIANS,2
J792,0110172958,F,15,STITHIANS,2
J1895,0110171CDF,M,15,STITHIANS,2
J2383,0110171C3B,F,16,STITHIANS,2
J1521,0110173FBD,M,16,STITHIANS,2
J1903,0110173CFE,F,17,STITHIANS,2
J469,0110173B9B,M,17,STITHIANS,2
J1915,01103F8DAB,F,20,STITHIANS,2
J1507,011016DA82,M,20,STITHIANS,2
J1318,011016FBB0,F,22,STITHIANS,2
J494,0110173BDC,M,22,STITHIANS,2
J1893,01103F8B8A,F,23,STITHIANS,2
J972,011016C2E3,M,23,STITHIANS,2
J2952,01101716A9,F,24,STITHIANS,2
J2941,01101746C4,M,24,STITHIANS,2
J295,0110171A6D,F,25,STITHIANS,2
J446,,M,25,STITHIANS,2
J16,01103F727C,F,26,STITHIANS,2
J361,01101704AF,M,26,STITHIANS,2
J2460,011016E2D8,F,28,STITHIANS,2
J625,0110172C35,M,28,STITHIANS,2
J2392,0110171099,F,29,STITHIANS,2
J1926,0110170C9D,M,29,STITHIANS,2
J721,0110172B35,F,31,STITHIANS,2
J1368,010C10C985,M,31,STITHIANS,2
J1317,01101729E4,F,32,STITHIANS,2
J1602,01101704F9,M,32,STITHIANS,2
J793,0110172B8A,F,33,STITHIANS,2
J1352,0110171192,M,33,STITHIANS,2
J39,0110174C1A,F,34,PENCOOSE,2
J267,,M,34,PENCOOSE,2
J1154,010C1133E0,F,35,PENCOOSE,2
J2395,0110173C8E,M,35,PENCOOSE,2
J2951,0110171256,F,36,PENCOOSE,2
J2966,011017173D,M,36,PENCOOSE,2
J41,0110170E43,F,37,PENCOOSE,2
J323,0700ED8C67,M,37,PENCOOSE,2
J615,010C10FC63,F,38,PENCOOSE,2
J618,,M,38,PENCOOSE,2
J637,01101718CB,F,39,PENCOOSE,2
J1900,011017151E,M,39,PENCOOSE,2
J42,011016FD17,F,40,PENCOOSE,2
J1351,,M,40,PENCOOSE,2
J2390,011016D940,F,41,PENCOOSE,2
J62,0110173EE2,M,41,PENCOOSE,2
J243,01103F6CD0,F,43,PENCOOSE,2
J145,011017298F,M,43,PENCOOSE,2
J164,011017063E,F,44,PENCOOSE,2
J831,0110170F9D,M,44,PENCOOSE,2
J572,010C1145EF,F,45,PENCOOSE,2
J257,0110170DED,M,45,PENCOOSE,2
J990,011017378A,F,46,PENCOOSE,2
J909,0110174D76,M,46,PENCOOSE,2
J1455,0110174A8F,F,47,PENCOOSE,2
J1980,011017079E,M,47,PENCOOSE,2
J1337,010C10B348,F,48,PENCOOSE,2
J1259,0110173869,M,48,PENCOOSE,2
UNMK,,F,49,PENCOOSE,2
J265,010C11C061,M,49,PENCOOSE,2
J1783,01103F76C4,F,50,PENCOOSE,2
J2981,0110174210,M,50,PENCOOSE,2
J1375,0110171A0A,F,51,PENCOOSE,2
J1898,01101739D4,M,51,PENCOOSE,2
J796,011017208B,F,52,PENCOOSE,2
J1346,0110173CC7,M,52,PENCOOSE,2
J218,011016D7A3,F,53,PENCOOSE,2
J289,0110172E84,M,53,PENCOOSE,2
J912,0110171842,F,54,PENCOOSE,2
J1360,01101722BF,M,54,PENCOOSE,2
J1343,,F,55,PENCOOSE,2
J430,010C1192E3,M,55,PENCOOSE,2
J2394,01101744A1,F,57,PENCOOSE,2
J219,0110174F24,M,57,PENCOOSE,2
J1979,0110174004,F,58,PENCOOSE,2
J1131B,011016ECE3,M,58,PENCOOSE,2
J2377,0110170541,F,59,PENCOOSE,2
J1463,010C11735F,M,59,PENCOOSE,2
J1916,0700EDC3DE,F,60,PENCOOSE,2
J1093,0110174A58,M,60,PENCOOSE,2
UNMK,,F,61,PENCOOSE,2
UNMK,,M,61,PENCOOSE,2
J908,011017172E,F,62,PENCOOSE,2
J587,0110173219,M,62,PENCOOSE,2
J2415,01101730BD,F,63,PENCOOSE,2
J1428,0110174894,M,63,PENCOOSE,2
J1355,0110173920,F,64,PENCOOSE,2
J933,0110174403,M,64,PENCOOSE,2
J56,01103F662E,F,66,PENCOOSE,2
J1345,,M,66,PENCOOSE,2
J1398,011016FAA4,F,67,PENCOOSE,2
J1962,011017041C,M,67,PENCOOSE,2
J877,0110171892,F,69,PENCOOSE,2
J1889,01101704BE,M,69,PENCOOSE,2
J1768,01101729D9,F,70,PENCOOSE,2
J833,01101736A9,M,70,PENCOOSE,2
J1959,011016FAA1,F,72,PENCOOSE,2
J992,0110172709,M,72,PENCOOSE,2
J595,011016EFBD,M,73,PENCOOSE,3
J1964,0110174001,F,73,PENCOOSE,3
J634,0110174899,M,74,STITHIANS,3
J886,0110172BBE,F,74,STITHIANS,3
UNMK,,F,79,STITHIANS,3
J314,0110174A17,M,79,STITHIANS,3
J23,01101730BB,F,82,STITHIANS,3
J22,01103F6CED,M,82,STITHIANS,3
J460,01101739D8,M,84,STITHIANS,3
J834,0110172558,F,84,STITHIANS,3
J1469,010C10BD41,F,85,PENCOOSE,3
J1388,0110171C9B,M,85,PENCOOSE,3
J838,,M,87,PENCOOSE,3
UNMK,,F,87,PENCOOSE,3
J1908,0110170EA4,F,89,PENCOOSE,3
J1458,01101744A9,M,89,PENCOOSE,3
J2396,011016DF7C,M,91,PENCOOSE,3
UNMK,,F,91,PENCOOSE,3
J1973,0110171A79,F,92,PENCOOSE,3
UNMK,,M,92,PENCOOSE,3
J1222,01101704BC,F,93,PENCOOSE,3
J1155,01101742D2,M,93,PENCOOSE,3
J251,,F,94,PENCOOSE,3
UNMK,,M,94,PENCOOSE,3
J1666,0110173B23,F,95,PENCOOSE,3
J1726,011017210A,M,95,PENCOOSE,3
J1311,010C110319,F,96,PENCOOSE,3
J258,010C112145,M,96,PENCOOSE,3
J1626,01101726B0,F,97,STITHIANS,3
J1356,010C10EFE8,M,97,STITHIANS,3
J1056,011017506D,F,98,STITHIANS,3
J2942,01101725D9,M,98,STITHIANS,3
J805,010C10B0C7,F,100,PENCOOSE,3
J1954,01101744AE,M,100,PENCOOSE,3
J751,011016D406,M,101,STITHIANS,3
J1917,0110174222,F,101,STITHIANS,3
J305,010C10BA79,M,102,STITHIANS,3
J419,0110173F5F,F,102,STITHIANS,3
J1065,0110171BDF,M,103,PENCOOSE,3
J1419,010C115615,F,103,PENCOOSE,3
J2434,01103F7297,,104,PENCOOSE,3
UNMK,,,104,PENCOOSE,3
J2621,0110170C51,F,105,PENCOOSE,3
J2782,0110174EEA,M,105,PENCOOSE,3
J448,0700EDA0B7,,106,STITHIANS,3
UNMK,,,106,STITHIANS,3
J2623,01103F7E1F,,107,STITHIANS,3
J3063,0110173972,,107,STITHIANS,3
J2801,011016BBE5,M,,STITHIANS,4
J884,011016BC6D,F,,STITHIANS,4
J1034,011016C003,M,,STITHIANS,4
J3036,011016E2FC,,,STITHIANS,4
J2627,011016FAEE,,,PENCOOSE,4
J2538,011016FCAC,,,STITHIANS,4
J2740,011016FE76,F,,STITHIANS,4
J2839,0110171B85,F,,STITHIANS,4
J2573,01101726F3,F,,PENCOOSE,4
J1029,01101727B3,M,,STITHIANS,4
J2866,01101733D1,,,STITHIANS,4
J1490,0110174D33,M,,STITHIANS,4
J2130,01103F6537,M,,STITHIANS,4
J3095,01103F7052,,,STITHIANS,4
J3084,01103F725F,,,STITHIANS,4
J2804,01103F754E,,,STITHIANS,4
J3070,01103F769B,,,STITHIANS,4
J2960,01103F7E98,,,STITHIANS,4
J1327,01103F8F10,M,,STITHIANS,4
J2331,0110171544,M,,PENCOOSE,4
J2948,0110170649,,,STITHIANS,4
J2651,0110171249,M,,STITHIANS,4
J1600,0110171819,F,,STITHIANS,4
J2727,0110173E12,F,,STITHIANS,4
