SOURCE,TARGET,TIME,TYPE,WEIGHT,SITE,lock_bool,high_bool,low_bool,ANTENNA,pre_dur,post_dur
J3635,J3635,0,IS_GROUP_A,1,,,,,,,
J3628,J3628,0,IS_GROUP_A,1,,,,,,,
J3630,J3630,0,IS_GROUP_A,1,,,,,,,
J3659,J3659,0,IS_GROUP_A,1,,,,,,,
J3655,J3655,0,IS_GROUP_A,1,,,,,,,
J3662,J3662,0,IS_GROUP_A,1,,,,,,,
J3613,J3613,0,IS_GROUP_A,1,,,,,,,
J1692,J1692,0,IS_GROUP_A,1,,,,,,,
J3608,J3608,0,IS_GROUP_A,1,,,,,,,
J2477,J2477,0,IS_GROUP_A,1,,,,,,,
J3595,J3595,0,IS_GROUP_A,1,,,,,,,
J3581,J3581,0,IS_GROUP_A,1,,,,,,,
J3585,J3585,0,IS_GROUP_A,1,,,,,,,
J3591,J3591,0,IS_GROUP_A,1,,,,,,,
J2198,J2198,0,IS_GROUP_A,1,,,,,,,
J1623,J1623,0,IS_GROUP_A,1,,,,,,,
J3564,J3564,0,IS_GROUP_A,1,,,,,,,
J3566,J3566,0,IS_GROUP_A,1,,,,,,,
J3560,J3560,0,IS_GROUP_A,1,,,,,,,
J3556,J3556,0,IS_GROUP_A,1,,,,,,,
J3551,J3551,0,IS_GROUP_A,1,,,,,,,
J1658,J1658,0,IS_GROUP_A,1,,,,,,,
J2488,J2488,0,IS_GROUP_A,1,,,,,,,
J3537,J3537,0,IS_GROUP_A,1,,,,,,,
J3530,J3530,0,IS_GROUP_A,1,,,,,,,
J3534,J3534,0,IS_GROUP_A,1,,,,,,,
J3523,J3523,0,IS_GROUP_A,1,,,,,,,
J3527,J3527,0,IS_GROUP_A,1,,,,,,,
J3295,J3295,0,IS_GROUP_A,1,,,,,,,
J3208,J3208,0,IS_GROUP_A,1,,,,,,,
J3145,J3145,0,IS_GROUP_A,1,,,,,,,
J3281,J3281,0,IS_GROUP_A,1,,,,,,,
J3125,J3125,0,IS_GROUP_A,1,,,,,,,
J3106,J3106,0,IS_GROUP_A,1,,,,,,,
J3228,J3228,0,IS_GROUP_A,1,,,,,,,
J2668,J2668,0,IS_GROUP_A,1,,,,,,,
J3225,J3225,0,IS_GROUP_A,1,,,,,,,
J3493,J3493,0,IS_GROUP_A,1,,,,,,,
J3473,J3473,0,IS_GROUP_A,1,,,,,,,
J1529,J1529,0,IS_GROUP_A,1,,,,,,,
